account,name,link
@humantransit@mastodon.online,Jarrett Walker,https://mastodon.online/@humantransit
@Transportist@mastodon.social,David M. Levison,https://mastodon.social/@Transportist
@danielbowen@mastodon.social,Daniel Bowen,https://mastodon.social/@danielbowen
@AussieWirraway@aus.social,Tom (AussieWirraway),https://aus.social/@AussieWirraway
@gippygunzel@aus.social,Alison (Every Station Melbourne),https://aus.social/@gippygunzel
@augustusbrown@aus.social,Augustus Brown,https://aus.social/@augustusbrown
@BrentToderian@mastodon.online,Brent Toderian,https://mastodon.online/@BrentToderian
@melbourneway@aus.social,MelbourneWay,https://aus.social/@melbourneway
@notjustbikes@notjustbikes.com,Not Just Bikes,https://social.notjustbikes.com/@notjustbikes
@davidzipper@mastodon.social,David Zipper,https://mastodon.social/@davidzipper
@RantyHighwayman@mas.to,The Ranty Highwayman,https://mas.to/@RantyHighwayman
@lennartnout@mastodon.social,Lennart Nout,https://mastodon.social/@lennartnout
@dmoser@mastodon.social,David Moser,https://mastodon.social/@dmoser
@hembrow@todon.eu,David Hembrow,https://todon.eu/@hembrow
@nerd4cities@mstdn.social,Ray Delahunty (Nerd4cities),https://mstdn.social/@nerd4cities
@sebvandenbrink@mastodon.nl,Sebas van den Brink,https://mastodon.nl/@sebvandenbrink
@urbanistorg@mstdn.social,The Urbanist,https://mstdn.social/@urbanistorg
@CathyTuttle@mastodon.green,Cathy Tuttle,https://mastodon.green/@CathyTuttle
@DrTCombs@mastodon.social,Tab Combs,https://mastodon.social/@DrTCombs
@RobertWeetman@mastodon.scot,Robert Weetman,https://mastodon.scot/@RobertWeetman
@irishcycle@mastodon.ie,Irishcycle.com,https://mastodon.ie/@irishcycle
@bikepedantic@mas.to,Bikepedantic,https://mas.to/@bikepedantic
@T2commuter@mastodon.online,T2 Commuter,https://mastodon.online/@T2commuter
@nevomagnezi@sandiegourbanists.com,Nevo Magnezi,https://sandiegourbanists.com/@nevomagnezi
@finneh@weburbanists.com,Jacob,https://weburbanists.com/@finneh
@kateontransport@weburbanists.com,Kate Lowe,https://weburbanists.com/@kateontransport
@philip@aus.social,Philip Mallis,https://aus.social/@Philip
@JasonThorne@mastodon.social,Jason Thorne,https://mastodon.social/@JasonThorne
@citybeautiful21@mastodon.social,CityBeautiful21,https://mastodon.social/@citybeautiful21
@VeLizipede@weburbanists.com,Liz Irvin,https://weburbanists.com/@VeLizipede
@urbanizationist@mas.to,Jago Dodson,https://mas.to/@urbanizationist
@gicycle@mastodon.social,Martin Loidl,https://mastodon.social/@gicycle
@Alexei@fediscience.org ,Alexei Trundle,https://fediscience.org/@Alexei
@scotinoz@aus.social,Alison Young,https://aus.social/@scotinoz
@cathy@fediscience.org ,Cathy,https://fediscience.org/@cathy
@knf@mstdn.social ,Kazi Fattah,https://mstdn.social/@knf
@alectang@mastodon.nz ,Alec Tang,https://mastodon.nz/@alectang
@UrbanDemog@toot.community,Rafael H M Pereira,https://toot.community/@UrbanDemog
